Other Investigators in the Lab,,,Coulter Counts,,,
Bates No.,Date,Coul 1,Coul 2,Coul 3,Average,Investigator
,4/15/92,1547,1574,1523,1548.00,I
,4/15/92,1617,1552,1570,1579.67,I
,4/15/92,1258,1279,1284,1273.67,I
,4/15/92,1273,1313,1286,1290.67,I
,4/15/92,1071,1044,1044,1053.00,I
,4/15/92,1014,1014,965,997.67,I
,4/15/92,1051,1012,990,1017.67,I
,4/15/92,948,954,918,940.00,I
,4/15/92,1039,977,1060,1025.33,I
,4/15/92,2023,1851,1830,1901.33,I
,4/29/92,1427,1401,1447,1425.00,I
,4/29/92,1181,1234,1109,1174.67,I
,4/29/92,1147,1131,1195,1157.67,I
,4/29/92,1252,1212,1267,1243.67,I
,4/29/92,1224,1248,1211,1227.67,I
,4/29/92,1297,1215,1194,1235.33,I
,4/29/92,1161,1212,1112,1161.67,I
,4/29/92,1065,1058,1014,1045.67,I
,4/29/92,1049,1035,1038,1040.67,I
,4/29/92,1657,1696,1649,1667.33,I
,6/30/92,1898,1814,1849,1853.67,I
,6/30/92,1594,1508,1596,1566.00,I
,6/30/92,1460,1460,1519,1479.67,I
,6/30/92,1430,1385,1406,1407.00,I
,6/30/92,1279,1297,1234,1270.00,I
,6/30/92,1165,1185,1162,1170.67,I
,6/30/92,1128,1077,1099,1101.33,I
,6/30/92,1125,1095,1078,1099.33,I
,6/30/92,1297,1213,1283,1264.33,I
,6/30/92,1972,1903,1865,1913.33,I
,8/3/92,4523,4509,4568,4533.33,I
,8/4/92,1028,986,975,996.33,I
,8/4/92,1020,940,927,962.33,I
,8/4/92,1012,976,962,983.33,I
,8/4/92,816,868,872,852.00,I
,8/4/92,757,693,678,709.33,I
,8/4/92,828,825,843,832.00,I
,8/4/92,719,710,766,731.67,I
,8/4/92,805,809,785,799.67,I
,8/4/92,881,851,831,854.33,I
,8/4/92,913,981,998,964.00,I
,10/14/92,1257,1291,1224,1257.33,I
,10/14/92,1032,987,1053,1024.00,I
,10/14/92,1126,1081,1074,1093.67,I
,10/14/92,1225,1248,1178,1217.00,I
,10/14/92,1034,986,988,1002.67,I
,10/14/92,994,988,1027,1003.00,I
,10/14/92,932,900,917,916.33,I
,10/14/92,878,866,850,864.67,I
,10/14/92,927,874,885,895.33,I
,10/14/92,1947,1847,1815,1869.67,I
B013507,2/13/95,148,179,143,156.67,A
B013507,2/13/95,149,163,136,149.33,A
B013507,2/13/95,162,173,149,161.33,A
B013507,2/13/95,159,124,146,143.00,A
B013507,2/13/95,146,155,165,155.33,A
B013507,2/13/95,153,142,164,153.00,A
B013507,2/13/95,133,154,159,148.67,A
B013510,4/4/95,334,327,,330.50,A
B013510,4/4/95,294,300,,297.00,A
B013510,4/4/95,342,347,,344.50,A
B013510,4/4/95,347,368,,357.50,A
B013510,4/4/95,368,401,358,375.67,A
B013510,4/4/95,314,297,,305.50,A
B013510,4/4/95,368,361,,364.50,A
B013510,4/4/95,352,362,,357.00,A
B013529,6/27/95,505,474,,489.50,A
B013529,6/27/95,524,477,,500.50,A
B013529,6/27/95,495,474,,484.50,A
B013529,6/27/95,467,458,,462.50,A
B013529,6/27/95,446,497,,471.50,A
B013529,6/27/95,451,448,,449.50,A
B013529,6/27/95,515,485,,500.00,A
B013529,6/27/95,469,458,,463.50,A
B013529,6/27/95,490,466,,478.00,A
B013529,6/27/95,441,435,,438.00,A
B013540,7/24/95,495,480,,487.50,A
B013540,7/24/95,481,508,,494.50,A
B013540,7/24/95,523,568,,545.50,A
B013540,7/24/95,545,511,,528.00,A
B013540,7/24/95,493,546,,519.50,A
B013540,7/24/95,498,541,,519.50,A
B013540,7/24/95,532,521,,526.50,A
B013540,7/24/95,476,448,,462.00,A
B013540,7/24/95,484,440,,462.00,A
B013540,7/24/95,451,402,,426.50,A
B013540,7/24/95,50,56,84,63.33,A
B013540,7/24/95,57,37,55,49.67,A
B013540,7/24/95,32,29,34,31.67,A
B013540,7/24/95,109,126,135,123.33,A
B013540,7/24/95,63,58,62,61.00,A
B013540,7/24/95,57,52,49,52.67,A
B013540,7/24/95,55,45,54,51.33,A
B013540,7/24/95,153,163,153,156.33,A
B013540,7/24/95,263,253,267,261.00,A
B013540,7/24/95,38,23,35,32.00,A
B013546,9/25/95,471,503,,487.00,A
B013546,9/25/95,593,612,,602.50,A
B013546,9/25/95,563,576,,569.50,A
B013546,9/25/95,543,558,,550.50,A
B013546,9/25/95,564,544,,554.00,A
B013546,9/25/95,580,562,,571.00,A
B013546,9/25/95,542,591,,566.50,A
B013546,9/25/95,521,511,,516.00,A
B013546,9/25/95,536,578,,557.00,A
B013546,9/25/95,556,571,,563.50,A
B013552,10/1/95,493,490,,491.50,A
B013552,10/1/95,507,517,,512.00,A
B013552,10/1/95,517,520,,518.50,A
B013552,10/1/95,591,588,,589.50,A
B013552,10/1/95,537,529,,533.00,A
B013552,10/1/95,505,538,,521.50,A
B013552,10/1/95,543,541,,542.00,A
B013552,10/1/95,492,500,,496.00,A
B013552,10/1/95,426,458,,442.00,A
B013552,10/1/95,481,453,,467.00,A
B013552,10/1/95,1312,1323,1247,1294.00,A
B013552,10/1/95,1216,1210,1237,1221.00,A
B013552,10/1/95,1218,1179,1234,1210.33,A
B013552,10/1/95,1145,1208,1166,1173.00,A
B013552,10/1/95,1142,1128,1088,1119.33,A
B013552,10/1/95,1153,1122,1136,1137.00,A
B013552,10/1/95,1245,1111,1217,1191.00,A
B013552,10/1/95,1233,1233,1204,1223.33,A
B013552,10/1/95,1153,1174,1170,1165.67,A
B013552,10/1/95,998,977,994,989.67,A
B013552,10/1/95,696,698,662,685.33,A
B013552,10/1/95,931,971,889,930.33,A
B013552,10/1/95,969,927,897,931.00,A
B013552,10/1/95,859,929,842,876.67,A
B013552,10/1/95,741,738,,739.50,A
B013552,10/1/95,956,950,,953.00,A
B013552,10/1/95,987,1021,,1004.00,A
B013552,10/1/95,964,1005,,984.50,A
B013552,10/1/95,1016,1036,,1026.00,A
B013552,10/1/95,792,735,,763.50,A
B013493,1/12/96,936,959,958,951.00,A
B013493,1/12/96,1012,988,959,986.33,A
B013493,1/12/96,986,943,1019,982.67,A
B013493,1/12/96,940,888,916,914.67,A
B013493,1/12/96,874,896,869,879.67,A
B013493,1/12/96,901,894,899,898.00,A
B013493,1/12/96,947,977,984,969.33,A
B013493,1/12/96,876,868,893,879.00,A
B013493,1/12/96,932,984,916,944.00,A
B013493,1/12/96,900,862,895,885.67,A
B013493,1/12/96,694,764,718,725.33,A
B013493,1/12/96,767,872,767,802.00,A
B013493,1/12/96,685,690,626,667.00,A
B013493,1/12/96,682,667,596,648.33,A
B013493,1/12/96,529,560,544,544.33,A
B013493,1/12/96,585,675,598,619.33,A
B013493,1/12/96,676,674,709,686.33,A
B013493,1/12/96,604,608,591,601.00,A
B013493,1/12/96,641,638,603,627.33,A
B013493,1/12/96,516,514,520,516.67,A
B013500,2/1/96,684,600,641,641.67,A
B013500,2/1/96,570,665,613,616.00,A
B013500,2/1/96,602,631,565,599.33,A
B013500,2/1/96,555,515,602,557.33,A
B013500,2/1/96,487,571,521,526.33,A
B013500,2/1/96,581,503,550,544.67,A
B013500,2/1/96,604,536,611,583.67,A
B013500,2/1/96,537,497,491,508.33,A
B013500,2/1/96,532,578,491,533.67,A
B013500,2/1/96,499,498,466,487.67,A
B013500,2/1/96,516,469,504,496.33,A
B013500,2/1/96,502,459,504,488.33,A
B013500,2/1/96,425,381,404,403.33,A
B013500,2/1/96,351,393,367,370.33,A
B013500,2/1/96,364,349,376,363.00,A
B013500,2/1/96,402,402,400,401.33,A
B013500,2/1/96,459,450,392,433.67,A
B013500,2/1/96,384,463,392,413.00,A
B013500,2/1/96,424,371,407,400.67,A
B013500,2/1/96,370,388,343,367.00,A
B013448,4/15/96,882,854,849,861.67,A
B013448,4/15/96,874,925,876,891.67,A
B013448,4/15/96,687,648,661,665.33,A
B013448,4/15/96,648,703,690,680.33,A
B013448,4/15/96,663,647,672,660.67,A
B013448,4/15/96,829,822,792,814.33,A
B013448,4/15/96,942,872,892,902.00,A
B013448,4/15/96,717,672,640,676.33,A
B013448,4/15/96,651,674,656,660.33,A
B013448,4/15/96,709,693,708,703.33,A
B014117,4/30/96,1068,1098,1052,1072.67,B
B014117,4/30/96,849,861,831,847.00,B
B014117,4/30/96,801,725,772,766.00,B
B014117,4/30/96,827,832,911,856.67,B
B014117,4/30/96,703,687,667,685.67,B
B014117,4/30/96,805,810,838,817.67,B
B014117,4/30/96,839,831,819,829.67,B
B014117,4/30/96,882,905,889,892.00,B
B014117,4/30/96,776,750,751,759.00,B
B014117,4/30/96,767,797,760,774.67,B
B013468,5/13/96,765,818,768,783.67,B
B013468,5/13/96,516,496,545,519.00,B
B013468,5/13/96,476,450,496,474.00,B
B013468,5/13/96,484,476,500,486.67,B
B013468,5/13/96,449,457,468,458.00,B
B013468,5/13/96,484,505,521,503.33,B
B013468,5/13/96,417,411,399,409.00,B
B013468,5/13/96,464,476,429,456.33,B
B013468,5/13/96,312,375,366,351.00,B
B013468,5/13/96,353,345,333,343.67,B
B014104,6/6/96,469,479,455,467.67,B
B014104,6/6/96,577,567,586,576.67,B
B014104,6/6/96,292,281,271,281.33,B
B014104,6/6/96,514,510,485,503.00,B
B014104,6/6/96,583,592,625,600.00,B
B014104,6/6/96,541,507,537,528.33,B
B014104,6/6/96,564,558,523,548.33,B
B014104,6/6/96,505,519,522,515.33,B
B014104,6/6/96,427,442,452,440.33,B
B014104,6/6/96,240,222,229,230.33,B
B014084,6/24/96,518,543,513,524.67,B
B014084,6/24/96,584,624,628,612.00,B
B014084,6/24/96,608,578,582,589.33,B
B014084,6/24/96,504,521,530,518.33,B
B014084,6/24/96,485,497,523,501.67,B
B014084,6/24/96,538,555,485,526.00,B
B014084,6/24/96,487,467,474,476.00,B
B014084,6/24/96,604,619,615,612.67,B
B014084,6/24/96,580,550,535,555.00,B
B014084,6/24/96,457,411,418,428.67,B
B014054,7/30/96,788,735,684,735.67,B
B014054,7/30/96,650,738,715,701.00,B
B014054,7/30/96,707,678,743,709.33,B
B014054,7/30/96,683,654,631,656.00,B
B014054,7/30/96,703,721,648,690.67,B
B014054,7/30/96,503,499,452,484.67,B
B014054,7/30/96,795,824,791,803.33,B
B014054,7/30/96,551,479,493,507.67,B
B014054,7/30/96,473,474,503,483.33,B
B014054,7/30/96,510,561,579,550.00,B
B014002,8/20/96,1234,1187,1101,1174.00,B
B014002,8/20/96,1434,1341,1298,1357.67,B
B014002,8/20/96,1061,1054,1080,1065.00,B
B014002,8/20/96,1219,1239,1192,1216.67,B
B014002,8/20/96,1237,1245,1236,1239.33,B
B014002,8/20/96,1179,1132,1128,1146.33,B
B014002,8/20/96,1303,1239,1303,1281.67,B
B014002,8/20/96,1304,1192,1211,1235.67,B
B014002,8/20/96,1166,1182,1121,1156.33,B
B014002,8/20/96,1226,1159,1227,1204.00,B
B014009,1/23/97,1310,1315,1236,1287.00,A
B014009,1/23/97,1413,1358,1396,1389.00,A
B014009,1/23/97,1215,1230,1285,1243.33,A
B014009,1/23/97,1430,1307,1137,1291.33,A
B014009,1/23/97,1177,1167,1061,1135.00,A
B014009,1/23/97,1583,1591,1405,1526.33,A
B014009,1/23/97,1549,1458,1418,1475.00,A
B014009,1/23/97,1205,1150,1115,1156.67,A
B014009,1/23/97,1344,1239,1148,1243.67,A
B014009,1/23/97,1311,1494,1420,1408.33,A
B008379,4/15/97,1114,1061,1111,1095.33,A
B008379,4/15/97,1217,1124,1132,1157.67,A
B008379,4/15/97,1028,1044,1099,1057.00,A
B008379,4/15/97,956,1028,971,985.00,A
B008379,4/15/97,940,1003,963,968.67,A
B008379,4/15/97,1092,1098,1051,1080.33,A
B008379,4/15/97,1032,1053,995,1026.67,A
B008379,4/15/97,954,874,952,926.67,A
B008379,4/15/97,967,869,944,926.67,A
B008379,4/15/97,1079,1104,1045,1076.00,A
B008387,4/18/97,1206,1253,1312,1257.00,A
B008387,4/18/97,1201,1257,1241,1233.00,A
B008387,4/18/97,1043,1094,1048,1061.67,A
B008387,4/18/97,1188,1136,1138,1154.00,A
B008387,4/18/97,1084,996,957,1012.33,A
B008387,4/18/97,1270,1255,1224,1249.67,A
B008387,4/18/97,1266,1169,1214,1216.33,A
B008387,4/18/97,1158,1164,1144,1155.33,A
B008387,4/18/97,1227,1155,1181,1187.67,A
B008387,4/18/97,1211,1173,1176,1186.67,A
B008382,4/18/97,645,670,708,674.33,A
B008382,4/18/97,726,732,729,729.00,A
B008382,4/18/97,802,747,835,794.67,A
B008382,4/18/97,1201,1056,1214,1157.00,A
B008382,4/18/97,1168,1198,1171,1179.00,A
B008382,4/18/97,1177,1172,1167,1172.00,A
B008390,4/21/97,415,418,390,407.67,A
B008390,4/21/97,220,270,242,244.00,A
B008390,4/21/97,554,597,561,570.67,A
B008390,4/21/97,521,520,526,522.33,A
B008390,4/21/97,502,504,505,503.67,A
B008390,4/21/97,514,569,550,544.33,A
B008390,4/21/97,527,565,508,533.33,A
B008390,4/21/97,527,518,505,516.67,A
B008390,4/21/97,935,976,962,957.67,A
B008390,4/21/97,596,611,569,592.00,A
B008393,4/22/97,1010,1119,1040,1056.33,A
B008393,4/22/97,1085,1086,1080,1083.67,A
B008393,4/22/97,988,888,936,937.33,A
B008393,4/22/97,924,924,908,918.67,A
B008393,4/22/97,1031,1029,1008,1022.67,A
B008393,4/22/97,1014,1040,1015,1023.00,A
B008393,4/22/97,1021,967,968,985.33,A
B008393,4/22/97,898,926,910,911.33,A
B008393,4/22/97,834,887,882,867.67,A
B008395,4/22/97,631,570,582,594.33,A
B008395,4/22/97,567,589,579,578.33,A
B008395,4/22/97,619,512,578,569.67,A
B008395,4/22/97,613,675,590,626.00,A
B008395,4/22/97,652,602,598,617.33,A
B008395,4/22/97,479,469,468,472.00,A
B008395,4/22/97,472,460,437,456.33,A
B008395,4/22/97,396,422,427,415.00,A
B008395,4/22/97,434,397,454,428.33,A
B020149,9/10/99,8282,8315,8221,8272.67,C
B020149,9/10/99,7355,7404,,7379.50,C
B020149,9/10/99,7962,7852,,7907.00,C
B020149,9/10/99,5530,5520,,5525.00,C
B020149,9/10/99,5541,5494,,5517.50,C
B020149,9/10/99,8409,8165,,8287.00,C
B020149,9/10/99,8760,8755,,8757.50,C
B020149,9/10/99,7748,7688,7726,7720.67,C
B020149,9/10/99,5734,5871,5984,5863.00,C
B020149,9/10/99,6484,6474,6240,6399.33,C
B020149,9/10/99,5987,5395,,5691.00,C
B020149,9/10/99,6426,6203,,6314.50,C
B020149,9/10/99,3539,2225,,2882.00,C
B020149,9/10/99,3327,4678,6607,4870.67,C
B020149,9/10/99,5110,3497,,4303.50,C
B020149,9/10/99,8254,8354,4875,7161.00,C
B020149,9/10/99,4838,4756,3112,4235.33,C
B020149,9/10/99,7797,6087,5855,6579.67,C
B020149,9/10/99,4053,4060,7204,5105.67,C
B020149,9/10/99,3752,4007,4013,3924.00,C
B020149,9/10/99,5577,5504,5640,5573.67,C
B020149,9/10/99,8598,4575,4653,5942.00,C
B020149,9/10/99,4435,6666,6113,5738.00,C
B020149,9/10/99,9784,6314,4755,6951.00,C
B020149,9/10/99,4144,6415,6735,5764.67,C
,12/6/99,801,784,832,805.67,C
,12/6/99,829,836,827,830.67,C
,12/6/99,759,747,732,746.00,C
,12/6/99,745,713,696,718.00,C
,12/6/99,824,782,807,804.33,C
,12/6/99,808,792,771,790.33,C
,12/6/99,728,752,702,727.33,C
,12/6/99,648,648,651,649.00,C
,12/6/99,725,723,713,720.33,C
,12/6/99,656,647,634,645.67,C
B019563,1/10/00,4784,4924,4924,4877.33,D
B019563,1/10/00,4660,4691,4534,4628.33,D
B019563,1/10/00,4222,4365,4164,4250.33,D
B019563,1/10/00,4812,4949,4845,4868.67,D
B019563,1/10/00,5105,5043,4862,5003.33,D
B019563,1/10/00,3755,3782,3766,3767.67,D
B019563,1/10/00,4908,5022,4747,4892.33,D
B019563,1/10/00,4334,4888,4929,4717.00,D
B013092,5/26/00,680,708,665,684.33,E
B013092,5/26/00,690,672,693,685.00,E
B013092,5/26/00,668,715,666,683.00,E
B013092,5/26/00,670,701,679,683.33,E
B013092,5/26/00,789,765,761,771.67,E
B013092,5/26/00,904,843,851,866.00,E
B013092,5/26/00,671,663,719,684.33,E
B013092,5/26/00,774,736,758,756.00,E
B013092,5/26/00,732,748,711,730.33,E
B013092,5/26/00,804,759,758,773.67,E
B007218,7/28/00,589,558,582,576.33,E
B007218,7/28/00,537,500,541,526.00,E
B007218,7/28/00,602,612,617,610.33,E
B007218,7/28/00,533,568,512,537.67,E
B007218,7/28/00,545,536,544,541.67,E
B007218,7/28/00,615,595,585,598.33,E
B007218,7/28/00,505,521,510,512.00,E
B007224,7/31/00,107,91,82,93.33,E
B007224,7/31/00,79,75,71,75.00,E
B007224,7/31/00,36,36,55,42.33,E
B007224,7/31/00,37,48,39,41.33,E
B007224,7/31/00,64,49,64,59.00,E
B007224,7/31/00,97,113,84,98.00,E
B007224,7/31/00,71,77,75,74.33,E
B007224,7/31/00,47,47,54,49.33,E
B007224,7/31/00,81,72,65,72.67,E
B007224,7/31/00,55,42,50,49.00,E
B007224,7/31/00,272,300,268,280.00,E
B007224,7/31/00,231,320,214,255.00,E
B007224,7/31/00,251,258,297,268.67,E
B007224,7/31/00,305,362,321,329.33,E
B007224,7/31/00,484,499,473,485.33,E
B007224,7/31/00,637,618,619,624.67,E
B007224,7/31/00,650,641,626,639.00,E
B007224,7/31/00,640,632,638,636.67,E
B007224,7/31/00,608,690,636,644.67,E
B007224,7/31/00,377,373,380,376.67,E
B007224,7/31/00,441,414,455,436.67,E
B007224,7/31/00,571,505,514,530.00,E
B007224,7/31/00,475,439,432,448.67,E
B007224,7/31/00,405,416,441,420.67,E
B007230,8/11/00,89,97,86,90.67,E
B007230,8/11/00,331,316,329,325.33,E
B007230,8/11/00,378,330,375,361.00,E
B007230,8/11/00,333,404,367,368.00,E
B007230,8/11/00,396,382,408,395.33,E
B007230,8/11/00,342,331,344,339.00,E
B007230,8/11/00,340,349,344,344.33,E
B007230,8/11/00,325,347,304,325.33,E
B007230,8/11/00,315,291,283,296.33,E
B007230,8/11/00,307,339,323,323.00,E
B007230,8/11/00,285,314,323,307.33,E
B007230,8/11/00,260,262,284,268.67,E
B007230,8/11/00,361,315,298,324.67,E
B007230,8/11/00,355,324,356,345.00,E
B019444,10/2/00,304,266,288,286.00,D
B019444,10/2/00,395,341,307,347.67,D
B019444,10/2/00,414,346,336,365.33,D
B019444,10/2/00,379,408,331,372.67,D
B019444,10/2/00,360,367,316,347.67,D
B019444,10/2/00,354,290,269,304.33,D
B019444,10/2/00,246,233,198,225.67,D
B019444,10/2/00,319,322,333,324.67,D
B019444,10/2/00,298,294,314,302.00,D
B019444,10/2/00,373,328,335,345.33,D
B007472,10/8/00,3180,3022,3065,3089.00,A
B007472,10/8/00,3150,3088,2988,3075.33,A
B007472,10/8/00,2754,2832,2782,2789.33,A
B007472,10/8/00,2741,2722,2617,2693.33,A
B007472,10/8/00,2423,2324,2351,2366.00,A
B007472,10/8/00,2795,2742,2702,2746.33,A
B007472,10/8/00,2897,2809,2705,2803.67,A
B007472,10/8/00,2687,2701,2653,2680.33,A
B007472,10/8/00,2766,2746,2680,2730.67,A
B007472,10/8/00,2528,2428,2495,2483.67,A
B019482,12/15/00,158,160,175,164.33,D
B019482,12/15/00,170,161,152,161.00,D
B019482,12/15/00,172,134,114,140.00,D
B019482,12/15/00,126,94,125,115.00,D
B019482,12/15/00,150,124,81,118.33,D
B019482,12/15/00,159,157,168,161.33,D
B019482,12/15/00,144,109,117,123.33,D
B019482,12/15/00,150,125,146,140.33,D
B019482,12/15/00,204,194,219,205.67,D
B019482,12/15/00,226,215,215,218.67,D
B019582,12/23/00,5892,5839,5793,5841.33,D
B019582,12/23/00,6119,6114,6118,6117.00,D
B019582,12/23/00,5792,5755,5850,5799.00,D
B019582,12/23/00,6634,6682,6469,6595.00,D
B019582,12/23/00,6891,7004,6795,6896.67,D
B019582,12/23/00,6623,6693,6666,6660.67,D
B019582,12/23/00,6378,6447,6511,6445.33,D
B019582,12/23/00,6783,6870,6735,6796.00,D
B019582,12/23/00,6768,6511,6618,6632.33,D
B019582,12/23/00,5671,5713,5698,5694.00,D
B019582,12/23/00,5022,5058,5146,5075.33,D
B019582,12/23/00,4965,4955,5063,4994.33,D
B019582,12/23/00,6490,5844,6018,6117.33,D
B019557,1/5/01,3958,3820,3830,3869.33,D
B019557,1/5/01,4853,4705,4686,4748.00,D
B019557,1/5/01,5244,5281,5162,5229.00,D
B019557,1/5/01,5671,5807,5802,5760.00,D
B019557,1/5/01,5270,5462,5447,5393.00,D
B019557,1/5/01,5807,5771,5929,5835.67,D
B019568,1/11/01,10262,9899,10314,10158.33,D
B019568,1/11/01,9266,9939,9670,9625.00,D
B019568,1/11/01,8794,9261,9369,9141.33,D
B019568,1/11/01,9329,9561,,9445.00,D
B019568,1/11/01,9928,10037,9876,9947.00,D
B019568,1/11/01,9188,9392,9408,9329.33,D
B019568,1/11/01,10896,10896,11031,10941.00,D
B019568,1/11/01,9539,10072,9842,9817.67,D
B019568,1/11/01,8177,7726,7699,7867.33,D
B019568,1/11/01,8263,8165,8326,8251.33,D
B019568,1/11/01,7709,7660,7688,7685.67,D
B019568,1/11/01,6282,6171,6261,6238.00,D
B019568,1/11/01,7671,7568,7682,7640.33,D
B019568,1/11/01,7655,7529,7429,7537.67,D
B019568,1/11/01,7726,7693,7573,7664.00,D
B019568,1/11/01,6256,6235,6336,6275.67,D
B019565,1/13/01,3995,4004,4023,4007.33,D
B019565,1/13/01,3050,3128,3087,3088.33,D
B019565,1/13/01,3183,3310,3296,3263.00,D
B019565,1/13/01,3886,3794,3817,3832.33,D
B019565,1/13/01,3363,3383,3317,3354.33,D
B019565,1/13/01,4069,3998,3934,4000.33,D
B019570,1/14/01,6891,7301,8315,7502.33,D
B019570,1/14/01,5850,5863,5659,5790.67,D
B019570,1/14/01,5128,5348,5165,5213.67,D
B019570,1/14/01,6302,6425,6501,6409.33,D
B019570,1/14/01,6376,6559,6596,6510.33,D
B019570,1/14/01,5499,5541,5270,5436.67,D
B019570,1/14/01,8393,8677,8265,8445.00,D
B019570,1/14/01,7858,7901,8210,7989.67,D
B019570,1/14/01,4802,4588,4550,4646.67,D
B019570,1/14/01,4918,5099,4981,4999.33,D
B019570,1/14/01,4784,4816,4841,4813.67,D
B019570,1/14/01,4341,4425,4321,4362.33,D
B019574,1/15/01,3308,3203,3169,3226.67,D
B019574,1/15/01,5224,5084,5156,5154.67,D
B019574,1/15/01,4585,4913,4794,4764.00,D
B019574,1/15/01,5187,4913,4893,4997.67,D
B019574,1/15/01,4709,4805,4758,4757.33,D
B019574,1/15/01,5089,5379,5198,5222.00,D
B019574,1/15/01,2888,2932,2920,2913.33,D
B019574,1/15/01,3470,3324,3510,3434.67,D
B019574,1/15/01,3702,3672,3608,3660.67,D
B019574,1/15/01,3293,3378,3306,3325.67,D
B019574,1/15/01,4094,3993,4008,4031.67,D
B019574,1/15/01,3905,3803,3840,3849.33,D
B019686,2/16/01,992,963,945,966.67,D
B019686,2/16/01,1008,950,987,981.67,D
B019686,2/16/01,630,670,626,642.00,D
B019686,2/16/01,969,704,451,708.00,D
B019686,2/16/01,600,592,610,600.67,D
B019686,2/16/01,516,469,576,520.33,D
B019686,2/16/01,527,515,513,518.33,D
B019686,2/16/01,638,556,655,616.33,D
B019687,2/16/01,2116,2088,2134,2112.67,D
B019687,2/16/01,2006,1928,1846,1926.67,D
B019687,2/16/01,1511,1462,1454,1475.67,D
B019687,2/16/01,1085,1512,1512,1369.67,D
B019687,2/16/01,1720,1673,1688,1693.67,D
B019687,2/16/01,1850,1845,1758,1817.67,D
B019687,2/16/01,1433,1514,1548,1498.33,D
B019687,2/16/01,1457,1515,1357,1443.00,D
B019687,2/16/01,1472,1489,1511,1490.67,D
B019683,2/19/01,3473,3378,3365,3405.33,D
B019683,2/19/01,3769,3862,3883,3838.00,D
