Outside Lab 2,,Coulter Counts,,
Date,Count 1,Count 2,Count 3,Average
6.6.2008,5868,5838,5691,5799.00
,3451,3343,3315,3369.67
,4844,4854,4695,4797.67
6.10.08,4851,4549,4532,4644.00
,3010,3018,2982,3003.33
,4009,3989,3785,3927.67
6.11.08,531,502,527,520.00
,558,550,511,539.67
,4417,4239,4381,4345.67
,2076,2017,2039,2044.00
6.14.08,4476,4710,4501,4562.33
,4124,3985,3893,4000.67
,9561,9164,9370,9365.00
,3072,3007,3017,3032.00
,2679,2622,2652,2651.00
6.19.08,3274,3020,3008,3100.67
,1590,1558,1538,1562.00
,3184,3123,3221,3176.00
,2911,2833,2739,2827.67
,1309,1174,1077,1186.67
,1374,1316,1312,1334.00
6.20.08,941,870,828,879.67
,1694,1630,1637,1653.67
,1320,1395,1373,1362.67
,1549,1465,1492,1502.00
,4066,4078,4024,4056.00
6.24.08,4908,4716,4657,4760.33
,4014,3915,3823,3917.33
,4673,4621,4624,4639.33
,4816,4501,4622,4646.33
,7215,7032,6900,7049.00
,5836,5923,5858,5872.33
,380,334,371,361.67
,595,577,540,570.67
,6797,6650,6625,6690.67
,3481,3435,3534,3483.33
,2353,2335,2160,2282.67
6.26.08,8986,8960,8811,8919.00
,4056,4273,4132,4153.67
,1538,1523,1545,1535.33
,1538,1523,1545,1535.33
,3588,3582,3490,3553.33
,4589,4568,4950,4702.33
,3903,3691,3817,3803.67
,4859,4891,4912,4887.33
,215,185,200,200.00
,3134,3073,3101,3102.67
,2464,2454,2420,2446.00
6.27.08,1691,1668,1597,1652.00
,1126,1062,1076,1088.00
,1202,1222,1162,1195.33
,1883,1776,1730,1796.33
,1448,1454,1368,1423.33
,1583,1606,1631,1606.67
6.30.08,325,287,276,296.00
,2259,2156,2136,2183.67
,1747,1695,1640,1694.00
,2029,1971,1928,1976.00
,8729,8692,8759,8726.67
,2535,2425,2470,2476.67
,4221,4170,4224,4205.00
,5151,5037,4997,5061.67
,6723,6621,6553,6632.33
6.30.08,3767,3759,3765,3763.67
,8665,8756,8956,8792.33
,4502,4271,4256,4343.00
,4502,4419,4572,4497.67
,5327,5239,5369,5311.67
,2435,2334,2460,2409.67
,3544,3543,3658,3581.67
,702,654,657,671.00
,4262,4273,4232,4255.67
,4136,4132,3963,4077.00
,3646,3735,3708,3696.33
,4025,3949,4082,4018.67
7.1.08,2733,2605,2547,2628.33
,3018,2966,3019,3001.00
,2779,2763,2820,2787.33
,1748,1857,1711,1772.00
7.1.08,3912,3852,3735,3833.00
,1068,1055,1089,1070.67
,617,616,679,637.33
,1135,1217,1251,1201.00
,1853,1775,1790,1806.00
,1451,1475,1495,1473.67
,579,616,594,596.33
,124,122,122,122.67
,1835,1825,1744,1801.33
,3062,3033,2947,3014.00
,7673,7464,7462,7533.00
,864,807,807,826.00
7.2.08,6048,6000,5917,5988.33
,6892,7016,6827,6911.67
,6572,6438,6405,6471.67
,6192,6158,5762,6037.33
,5222,5320,4953,5165.00
,6289,6202,6069,6186.67
,3205,3132,3221,3186.00
,3568,3488,3564,3540.00
,8170,8020,7961,8050.33
,3215,3286,3172,3224.33
,1743,1622,1597,1654.00
,253,221,238,237.33
,6267,6296,6197,6253.33
,6051,6073,6155,6093.00
,5707,5618,5650,5658.33
7.3.08,2752,2694,2672,2706.00
,5701,5805,5681,5729.00
,3940,3989,4048,3992.33
,4403,4463,4294,4386.67
,1477,1468,1529,1491.33
7.6.08,1651,1673,1643,1655.67
,1224,1229,1236,1229.67
,1649,1497,1632,1592.67
7.7.08,4505,4471,4459,4478.33
,5042,4850,4635,4842.33
,5316,5326,5137,5259.67
,5323,5259,5351,5311.00
,3155,2878,3104,3045.67
,336,370,358,354.67